window_start,window_end,condition,target_accuracy,intent_accuracy,team_success
0,99,dynamic_etm,0.3421666666666666,0.4775,0.23
0,99,frozen_etm,0.3421666666666666,0.4775,0.23
0,99,no_model,0.39483333333333326,0.5143333333333333,0.2375
0,99,oracle,0.3978333333333333,1.0,0.3105
100,199,dynamic_etm,0.3896666666666666,0.5045,0.2255
100,199,frozen_etm,0.3945,0.5028333333333334,0.222
100,199,no_model,0.43866666666666665,0.5233333333333332,0.2265
100,199,oracle,0.469,1.0,0.287
200,299,dynamic_etm,0.42416666666666664,0.5073333333333334,0.2285
200,299,frozen_etm,0.41616666666666663,0.4973333333333333,0.222
200,299,no_model,0.44366666666666665,0.523,0.226
200,299,oracle,0.5236666666666666,1.0,0.3055
300,399,dynamic_etm,0.4761666666666666,0.514,0.2315
300,399,frozen_etm,0.43066666666666664,0.5051666666666667,0.229
300,399,no_model,0.4523333333333333,0.5236666666666667,0.2145
300,399,oracle,0.5508333333333333,1.0,0.334
400,499,dynamic_etm,0.5358333333333333,0.5093333333333334,0.285
400,499,frozen_etm,0.4576666666666666,0.5006666666666666,0.2505
400,499,no_model,0.4533333333333333,0.517,0.228
400,499,oracle,0.5711666666666666,1.0,0.315
500,599,dynamic_etm,0.6018333333333332,0.5043333333333334,0.354
500,599,frozen_etm,0.4775,0.4996666666666667,0.26
500,599,no_model,0.45733333333333326,0.5091666666666667,0.221
500,599,oracle,0.5795,1.0,0.32
