seed,checkpoint,eval_case,learned_soups,static_soups,teacher_soups,learned_roles,static_roles,teacher_roles,agent_0_agrees,agent_1_agrees,agent_2_agrees,agent_0_hybrid_soups,agent_1_hybrid_soups,agent_2_hybrid_soups
0,0,0,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,1,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,2,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,3,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,4,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,5,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,6,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,7,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,8,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,9,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,10,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,11,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,40,0,4.0,0.0,6.0,2-2-0,0-0-1,2-1-0,1,0,1,6.0,4.0,6.0
0,40,1,3.0,0.0,6.0,2-2-0,0-0-1,1-2-0,0,1,1,3.0,6.0,6.0
0,40,2,0.0,0.0,4.0,2-2-0,0-0-1,1-2-1,0,1,0,4.0,4.0,6.0
0,40,3,6.0,0.0,4.0,1-2-0,0-0-1,0-2-2,0,1,0,3.0,4.0,2.0
0,40,4,6.0,0.0,4.0,1-2-0,0-0-1,0-2-2,0,1,0,3.0,4.0,2.0
0,40,5,6.0,0.0,4.0,1-2-0,0-0-1,0-2-2,0,1,0,3.0,4.0,2.0
0,40,6,4.0,0.0,6.0,2-2-0,0-0-1,2-1-0,1,0,1,6.0,4.0,6.0
0,40,7,0.0,0.0,4.0,2-2-0,0-0-1,1-2-1,0,1,0,4.0,4.0,6.0
0,40,8,0.0,0.0,6.0,1-2-0,0-0-1,1-0-2,1,0,0,6.0,3.0,0.0
0,40,9,0.0,0.0,6.0,1-2-0,0-0-1,1-0-2,1,0,0,6.0,3.0,0.0
0,40,10,0.0,0.0,4.0,2-2-0,0-0-1,1-2-1,0,1,0,4.0,4.0,6.0
0,40,11,4.0,0.0,6.0,2-2-0,0-0-1,0-2-1,0,1,0,3.0,6.0,1.0
0,80,0,3.0,0.0,6.0,0-2-2,0-0-1,1-2-0,0,1,0,3.0,6.0,4.0
0,80,1,0.0,0.0,6.0,0-2-2,0-0-1,0-1-2,1,0,1,6.0,0.0,6.0
0,80,2,3.0,0.0,6.0,0-2-2,0-0-1,1-0-2,0,0,1,2.0,4.0,6.0
0,80,3,4.0,0.0,4.0,0-2-2,0-0-1,0-2-2,1,1,1,4.0,4.0,4.0
0,80,4,4.0,0.0,4.0,0-2-2,0-0-1,0-2-2,1,1,1,4.0,4.0,4.0
0,80,5,4.0,0.0,4.0,0-2-2,0-0-1,0-2-2,1,1,1,4.0,4.0,4.0
0,80,6,3.0,0.0,6.0,0-2-2,0-0-1,1-2-0,0,1,0,3.0,6.0,4.0
0,80,7,3.0,0.0,6.0,0-2-2,0-0-1,1-0-2,0,0,1,2.0,4.0,6.0
0,80,8,4.0,0.0,6.0,0-2-2,0-0-1,1-0-2,0,0,1,1.0,3.0,6.0
0,80,9,4.0,0.0,6.0,0-2-2,0-0-1,1-0-2,0,0,1,1.0,3.0,6.0
0,80,10,3.0,0.0,6.0,0-2-2,0-0-1,1-0-2,0,0,1,2.0,4.0,6.0
0,80,11,0.0,0.0,6.0,0-2-2,0-0-1,0-2-1,1,1,0,6.0,6.0,0.0
0,120,0,0.0,0.0,6.0,0-2-1,0-0-1,1-2-0,0,1,0,3.0,6.0,4.0
0,120,1,0.0,0.0,6.0,0-2-2,0-0-1,0-1-2,1,0,1,6.0,0.0,6.0
0,120,2,3.0,0.0,6.0,0-2-2,0-0-1,0-2-1,1,1,0,6.0,6.0,3.0
0,120,3,4.0,0.0,6.0,0-2-2,0-0-1,0-1-2,1,0,1,6.0,4.0,6.0
0,120,4,4.0,0.0,6.0,0-2-2,0-0-1,0-1-2,1,0,1,6.0,4.0,6.0
0,120,5,4.0,0.0,6.0,0-2-2,0-0-1,0-1-2,1,0,1,6.0,4.0,6.0
0,120,6,0.0,0.0,6.0,0-2-1,0-0-1,1-2-0,0,1,0,3.0,6.0,4.0
0,120,7,3.0,0.0,6.0,0-2-2,0-0-1,0-2-1,1,1,0,6.0,6.0,3.0
0,120,8,4.0,0.0,6.0,0-2-2,0-0-1,0-1-2,1,0,1,6.0,4.0,6.0
0,120,9,4.0,0.0,6.0,0-2-2,0-0-1,0-1-2,1,0,1,6.0,4.0,6.0
0,120,10,3.0,0.0,6.0,0-2-2,0-0-1,0-2-1,1,1,0,6.0,6.0,3.0
0,120,11,6.0,0.0,6.0,0-2-1,0-0-1,0-1-2,1,0,0,6.0,0.0,0.0
0,160,0,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,160,1,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,160,2,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
0,160,3,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,160,4,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,160,5,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,160,6,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,160,7,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
0,160,8,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,160,9,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,160,10,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
0,160,11,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,200,0,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,200,1,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,200,2,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
0,200,3,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,200,4,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,200,5,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,200,6,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,200,7,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
0,200,8,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,200,9,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,200,10,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
0,200,11,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,240,0,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,240,1,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
0,240,2,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
