checkpoint,evaluation_games_per_condition,learned_mean_soups,static_mean_soups,teacher_mean_soups,agent_0_agreement,agent_0_hybrid_soups,agent_1_agreement,agent_1_hybrid_soups,agent_2_agreement,agent_2_hybrid_soups
0,24,1.2916666666666667,1.2916666666666667,,,,,,,
40,24,3.2083333333333335,1.2916666666666667,5.083333333333333,0.3333333333333333,4.458333333333333,0.5833333333333334,4.25,0.5416666666666666,4.041666666666667
80,24,3.9583333333333335,1.2916666666666667,5.583333333333333,0.5416666666666666,4.25,0.5833333333333334,4.583333333333333,0.625,3.8333333333333335
120,24,3.1666666666666665,1.2916666666666667,6.0,0.75,4.916666666666667,0.25,3.25,0.625,4.833333333333333
160,24,5.0,1.2916666666666667,6.0,1.0,6.0,0.75,4.5,0.75,5.0
200,24,5.0,1.2916666666666667,6.0,1.0,6.0,0.75,4.5,0.75,5.0
240,24,5.0,1.2916666666666667,6.0,1.0,6.0,0.8333333333333334,5.0,0.8333333333333334,5.5
280,24,5.0,1.2916666666666667,6.0,1.0,6.0,0.8333333333333334,5.0,0.8333333333333334,5.5
320,24,4.375,1.2916666666666667,6.0,1.0,6.0,0.75,4.5,0.8333333333333334,5.5
360,24,5.0,1.2916666666666667,6.0,1.0,6.0,0.8333333333333334,5.0,0.8333333333333334,5.5
