seed,episode,soups,epsilon,sampled_roles,teacher_roles,agent_0_loss,agent_1_loss,agent_2_loss
2,0,4.0,1.0,1-2-2,1-2-2,0.8499650359153748,0.9317235350608826,1.469097375869751
2,1,0.0,0.9974930362116992,1-1-1,1-1-1,0.7018276453018188,1.3220850229263306,1.0444941520690918
2,2,0.0,0.9949860724233983,2-2-2,2-2-2,1.196310043334961,0.8794532418251038,1.1573882102966309
2,3,6.0,0.9924791086350975,2-0-1,2-0-1,1.1914536952972412,1.4093557596206665,1.0222086906433105
2,4,0.0,0.9899721448467966,0-1-0,0-1-0,1.9693584442138672,1.2707886695861816,1.2333424091339111
2,5,3.0,0.9874651810584958,2-2-1,2-2-1,1.1839213371276855,0.7878332734107971,0.9722550511360168
2,6,0.0,0.984958217270195,1-2-1,1-2-1,0.7467781901359558,0.8056984543800354,0.9499444365501404
2,7,3.0,0.9824512534818941,1-2-2,1-2-2,0.763030469417572,0.7492424845695496,1.150469422340393
2,8,0.0,0.9799442896935933,0-1-1,0-1-1,1.7990821599960327,1.2631075382232666,0.8909929990768433
2,9,6.0,0.9774373259052925,2-1-0,2-1-0,1.0949969291687012,1.2550225257873535,1.4008537530899048
2,10,6.0,0.9749303621169917,1-0-2,1-0-2,0.701686441898346,1.6173378229141235,1.1217684745788574
2,11,4.0,0.9724233983286908,2-2-0,2-2-0,1.022485375404358,0.7112301588058472,1.4656035900115967
2,12,0.0,0.96991643454039,0-0-1,2-2-1,1.0446455478668213,0.6959109306335449,0.8438891172409058
2,13,6.0,0.9674094707520892,2-0-1,2-0-1,1.013136386871338,1.6407461166381836,0.8364400863647461
2,14,0.0,0.9649025069637883,0-1-1,1-0-2,0.7841061353683472,1.6434786319732666,1.1406162977218628
2,15,4.0,0.9623955431754875,2-1-1,2-0-1,0.9196762442588806,1.6083511114120483,0.8229038119316101
2,16,4.0,0.9598885793871866,1-2-2,1-0-2,0.8237582445144653,1.5559306144714355,1.1468493938446045
2,17,6.0,0.9573816155988858,1-0-2,1-0-2,0.8706837892532349,1.4688385725021362,1.1237280368804932
2,18,4.0,0.954874651810585,2-0-0,2-0-1,0.8871762156486511,1.4054598808288574,0.7954437136650085
2,19,4.0,0.9523676880222841,1-1-2,1-0-2,0.8379273414611816,1.3391162157058716,1.1037782430648804
2,20,4.0,0.9498607242339833,2-1-2,1-0-2,0.8699486255645752,1.2228929996490479,1.0696384906768799
2,21,2.0,0.9473537604456824,0-0-2,0-0-2,1.881469964981079,1.135047435760498,1.0441350936889648
2,22,3.0,0.9448467966573816,2-0-2,1-0-2,0.8496235013008118,1.0470792055130005,0.9942866563796997
2,23,4.0,0.9423398328690807,1-2-2,1-0-2,0.834653913974762,0.9606435894966125,0.9454815983772278
2,24,0.0,0.9398328690807799,2-0-2,2-0-1,0.8956694006919861,0.905910849571228,0.8811330199241638
2,25,0.0,0.9373259052924791,1-1-0,1-2-2,0.8397464156150818,1.0940417051315308,0.8608932495117188
2,26,0.0,0.9348189415041783,1-1-0,1-0-2,0.7801357507705688,0.7382420301437378,0.8088425397872925
2,27,3.0,0.9323119777158775,2-2-0,2-0-1,0.9169902801513672,0.7523761987686157,0.9797196388244629
2,28,0.0,0.9298050139275766,1-0-1,2-0-1,0.9260587692260742,0.697769045829773,1.0002033710479736
2,29,0.0,0.9272980501392758,2-1-0,2-0-1,0.924597978591919,0.6440292000770569,1.0043433904647827
2,30,0.0,0.924791086350975,1-0-1,0-0-2,2.029411792755127,0.5186752080917358,0.695716917514801
2,31,0.0,0.9222841225626741,0-1-1,2-0-1,0.9212045073509216,0.5026957988739014,0.9905480146408081
2,32,0.0,0.9197771587743733,2-2-2,0-0-2,2.0101051330566406,0.42311808466911316,0.6739518046379089
2,33,4.0,0.9172701949860724,1-2-1,2-0-1,0.887488842010498,0.4106791317462921,0.98106449842453
2,34,0.0,0.9147632311977716,2-2-2,2-0-1,0.8580257296562195,0.40510615706443787,0.9657399654388428
2,35,6.0,0.9122562674094707,1-2-0,1-0-2,0.8039012551307678,0.36482030153274536,0.6672747731208801
2,36,0.0,0.9097493036211699,1-1-0,2-0-1,0.8213599324226379,0.29430529475212097,0.9306181073188782
