seed,checkpoint,eval_case,learned_soups,static_soups,teacher_soups,learned_roles,static_roles,teacher_roles,agent_0_agrees,agent_1_agrees,agent_2_agrees,agent_0_hybrid_soups,agent_1_hybrid_soups,agent_2_hybrid_soups
4,0,0,0.0,0.0,,0-0-1,0-0-1,,,,,,,
4,0,1,0.0,0.0,,1-0-1,1-0-1,,,,,,,
4,0,2,0.0,0.0,,0-0-1,0-0-1,,,,,,,
4,0,3,0.0,0.0,,0-0-1,0-0-1,,,,,,,
4,0,4,0.0,0.0,,1-0-1,1-0-1,,,,,,,
4,0,5,0.0,0.0,,1-0-1,1-0-1,,,,,,,
4,0,6,0.0,0.0,,1-0-1,1-0-1,,,,,,,
4,0,7,0.0,0.0,,0-0-1,0-0-1,,,,,,,
4,0,8,0.0,0.0,,1-0-1,1-0-1,,,,,,,
4,0,9,0.0,0.0,,0-0-1,0-0-1,,,,,,,
4,0,10,0.0,0.0,,1-0-1,1-0-1,,,,,,,
4,0,11,0.0,0.0,,1-0-1,1-0-1,,,,,,,
4,40,0,0.0,0.0,6.0,2-0-2,0-0-1,0-1-2,0,0,1,4.0,0.0,6.0
4,40,1,0.0,0.0,6.0,2-0-2,1-0-1,0-2-1,0,0,0,4.0,0.0,4.0
4,40,2,4.0,0.0,4.0,2-0-2,0-0-1,2-0-0,1,1,0,4.0,4.0,4.0
4,40,3,4.0,0.0,4.0,2-0-2,0-0-1,2-0-0,1,1,0,4.0,4.0,4.0
4,40,4,3.0,0.0,6.0,2-0-2,1-0-1,2-1-0,1,0,0,6.0,0.0,4.0
4,40,5,0.0,0.0,6.0,2-0-2,1-0-1,0-2-1,0,0,0,4.0,0.0,4.0
4,40,6,3.0,0.0,0.0,2-0-2,1-0-1,0-0-1,0,1,0,0.0,0.0,0.0
4,40,7,0.0,0.0,6.0,2-0-2,0-0-1,0-1-2,0,0,1,4.0,0.0,6.0
4,40,8,4.0,0.0,6.0,2-0-2,1-0-1,0-1-2,0,0,1,3.0,1.0,6.0
4,40,9,4.0,0.0,4.0,2-0-2,0-0-1,2-0-0,1,1,0,4.0,4.0,4.0
4,40,10,0.0,0.0,6.0,2-0-2,1-0-1,0-2-1,0,0,0,4.0,0.0,4.0
4,40,11,0.0,0.0,6.0,2-0-2,1-0-1,0-2-1,0,0,0,4.0,0.0,4.0
4,80,0,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,80,1,6.0,0.0,6.0,0-1-2,1-0-1,0-2-1,1,0,0,6.0,0.0,4.0
4,80,2,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,80,3,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,80,4,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,80,5,6.0,0.0,6.0,0-1-2,1-0-1,0-2-1,1,0,0,6.0,0.0,4.0
4,80,6,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,80,7,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,80,8,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,80,9,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,80,10,6.0,0.0,6.0,0-1-2,1-0-1,0-2-1,1,0,0,6.0,0.0,4.0
4,80,11,6.0,0.0,6.0,0-1-2,1-0-1,0-2-1,1,0,0,6.0,0.0,4.0
4,120,0,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,120,1,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,120,2,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,120,3,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,120,4,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,120,5,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,120,6,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,120,7,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,120,8,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,120,9,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,120,10,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,120,11,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,160,0,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,160,1,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,160,2,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,160,3,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,160,4,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,160,5,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,160,6,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,160,7,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,160,8,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,160,9,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,160,10,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,160,11,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,200,0,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,200,1,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,200,2,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,200,3,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,200,4,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,200,5,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,200,6,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,200,7,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,200,8,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,200,9,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,200,10,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,200,11,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
