seed,checkpoint,eval_case,learned_soups,static_soups,teacher_soups,learned_roles,static_roles,teacher_roles,agent_0_agrees,agent_1_agrees,agent_2_agrees,agent_0_hybrid_soups,agent_1_hybrid_soups,agent_2_hybrid_soups
0,0,0,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,1,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,2,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,3,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,4,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,5,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,6,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,0,7,0.0,0.0,,0-0-1,0-0-1,,,,,,,
0,40,0,2.0,0.0,3.0,1-2-2,0-0-1,2-1-0,0,0,0,0.0,2.0,2.0
0,40,1,2.0,0.0,2.0,1-2-2,0-0-1,1-2-0,1,1,0,2.0,2.0,2.0
0,40,2,2.0,0.0,2.0,1-2-2,0-0-1,1-2-1,1,1,0,2.0,2.0,2.0
0,40,3,2.0,0.0,2.0,1-2-2,0-0-1,0-2-2,0,1,1,2.0,2.0,2.0
0,40,4,2.0,0.0,2.0,1-2-2,0-0-1,0-2-2,0,1,1,2.0,2.0,2.0
0,40,5,2.0,0.0,2.0,1-2-2,0-0-1,0-2-2,0,1,1,2.0,2.0,2.0
0,40,6,2.0,0.0,3.0,1-2-2,0-0-1,2-1-0,0,0,0,0.0,2.0,2.0
0,40,7,2.0,0.0,2.0,1-2-2,0-0-1,1-2-1,1,1,0,2.0,2.0,2.0
0,80,0,2.0,0.0,3.0,0-2-2,0-0-1,1-2-0,0,1,0,2.0,3.0,2.0
0,80,1,0.0,0.0,2.0,0-2-2,0-0-1,0-1-2,1,0,1,2.0,0.0,2.0
0,80,2,2.0,0.0,3.0,0-2-2,0-0-1,1-0-2,0,0,1,2.0,2.0,3.0
0,80,3,2.0,0.0,2.0,0-2-2,0-0-1,0-2-2,1,1,1,2.0,2.0,2.0
0,80,4,2.0,0.0,2.0,0-2-2,0-0-1,0-2-2,1,1,1,2.0,2.0,2.0
0,80,5,2.0,0.0,2.0,0-2-2,0-0-1,0-2-2,1,1,1,2.0,2.0,2.0
0,80,6,2.0,0.0,3.0,0-2-2,0-0-1,1-2-0,0,1,0,2.0,3.0,2.0
0,80,7,2.0,0.0,3.0,0-2-2,0-0-1,1-0-2,0,0,1,2.0,2.0,3.0
0,120,0,3.0,0.0,3.0,1-2-0,0-0-1,1-2-0,1,1,1,3.0,3.0,3.0
0,120,1,2.0,0.0,3.0,1-2-2,0-0-1,0-2-1,0,1,0,2.0,3.0,0.0
0,120,2,2.0,0.0,3.0,1-2-2,0-0-1,1-0-2,1,0,1,3.0,2.0,3.0
0,120,3,2.0,0.0,3.0,0-2-2,0-0-1,0-1-2,1,0,1,3.0,2.0,3.0
0,120,4,2.0,0.0,3.0,0-2-2,0-0-1,0-1-2,1,0,1,3.0,2.0,3.0
0,120,5,2.0,0.0,3.0,0-2-2,0-0-1,0-1-2,1,0,1,3.0,2.0,3.0
0,120,6,3.0,0.0,3.0,1-2-0,0-0-1,1-2-0,1,1,1,3.0,3.0,3.0
0,120,7,2.0,0.0,3.0,1-2-2,0-0-1,1-0-2,1,0,1,3.0,2.0,3.0
0,160,0,2.0,0.0,3.0,1-1-2,0-0-1,1-0-2,1,0,1,3.0,2.0,3.0
0,160,1,2.0,0.0,3.0,0-1-2,0-0-1,0-2-1,1,0,0,3.0,0.0,0.0
0,160,2,2.0,0.0,3.0,1-1-2,0-0-1,1-0-2,1,0,1,3.0,2.0,3.0
0,160,3,3.0,0.0,3.0,0-1-2,0-0-1,0-1-2,1,1,1,3.0,3.0,3.0
0,160,4,3.0,0.0,3.0,0-1-2,0-0-1,0-1-2,1,1,1,3.0,3.0,3.0
0,160,5,3.0,0.0,3.0,0-1-2,0-0-1,0-1-2,1,1,1,3.0,3.0,3.0
0,160,6,2.0,0.0,3.0,1-1-2,0-0-1,1-0-2,1,0,1,3.0,2.0,3.0
0,160,7,2.0,0.0,3.0,1-1-2,0-0-1,1-0-2,1,0,1,3.0,2.0,3.0
1,0,0,2.0,2.0,,2-2-0,2-2-0,,,,,,,
1,0,1,0.0,0.0,,2-2-0,2-2-0,,,,,,,
1,0,2,2.0,2.0,,2-2-0,2-2-0,,,,,,,
1,0,3,0.0,0.0,,2-2-0,2-2-0,,,,,,,
1,0,4,2.0,2.0,,2-2-0,2-2-0,,,,,,,
1,0,5,2.0,2.0,,2-2-0,2-2-0,,,,,,,
1,0,6,0.0,0.0,,2-2-0,2-2-0,,,,,,,
1,0,7,2.0,2.0,,2-2-0,2-2-0,,,,,,,
1,40,0,2.0,2.0,2.0,2-2-1,2-2-0,2-0-0,1,0,0,2.0,2.0,2.0
1,40,1,2.0,0.0,3.0,2-2-1,2-2-0,2-1-0,1,0,0,3.0,0.0,2.0
1,40,2,2.0,2.0,2.0,2-2-1,2-2-0,1-2-1,0,1,1,2.0,2.0,2.0
1,40,3,2.0,0.0,3.0,2-2-1,2-2-0,1-2-0,0,1,0,0.0,3.0,2.0
1,40,4,2.0,2.0,2.0,2-2-1,2-2-0,2-0-0,1,0,0,2.0,2.0,2.0
1,40,5,2.0,2.0,2.0,2-2-1,2-2-0,1-1-2,0,0,0,2.0,2.0,0.0
1,40,6,2.0,0.0,3.0,2-2-1,2-2-0,2-1-0,1,0,0,3.0,0.0,2.0
1,40,7,2.0,2.0,2.0,2-2-1,2-2-0,1-2-1,0,1,1,2.0,2.0,2.0
1,80,0,2.0,2.0,3.0,1-1-2,2-2-0,1-0-2,1,0,1,3.0,2.0,3.0
1,80,1,2.0,0.0,3.0,1-1-2,2-2-0,2-1-0,0,1,0,0.0,3.0,2.0
1,80,2,2.0,2.0,3.0,1-2-1,2-2-0,0-2-1,0,1,1,2.0,3.0,3.0
1,80,3,2.0,0.0,3.0,1-2-2,2-2-0,1-0-2,1,0,1,3.0,2.0,3.0
1,80,4,2.0,2.0,3.0,1-1-2,2-2-0,1-0-2,1,0,1,3.0,2.0,3.0
1,80,5,2.0,2.0,2.0,1-1-2,2-2-0,1-1-2,1,1,1,2.0,2.0,2.0
1,80,6,2.0,0.0,3.0,1-1-2,2-2-0,2-1-0,0,1,0,0.0,3.0,2.0
1,80,7,2.0,2.0,3.0,1-2-1,2-2-0,0-2-1,0,1,1,2.0,3.0,3.0
1,120,0,3.0,2.0,3.0,1-0-2,2-2-0,1-0-2,1,1,1,3.0,3.0,3.0
1,120,1,3.0,0.0,3.0,0-1-2,2-2-0,2-1-0,0,1,0,0.0,3.0,2.0
1,120,2,1.0,2.0,3.0,0-0-2,2-2-0,0-2-1,1,0,0,3.0,0.0,0.0
1,120,3,3.0,0.0,3.0,1-0-2,2-2-0,1-0-2,1,1,1,3.0,3.0,3.0
1,120,4,3.0,2.0,3.0,1-0-2,2-2-0,1-0-2,1,1,1,3.0,3.0,3.0
1,120,5,3.0,2.0,2.0,0-1-2,2-2-0,1-0-2,0,0,1,0.0,2.0,2.0
1,120,6,3.0,0.0,3.0,0-1-2,2-2-0,2-1-0,0,1,0,0.0,3.0,2.0
1,120,7,1.0,2.0,3.0,0-0-2,2-2-0,0-2-1,1,0,0,3.0,0.0,0.0
1,160,0,3.0,2.0,3.0,1-0-2,2-2-0,1-0-2,1,1,1,3.0,3.0,3.0
1,160,1,3.0,0.0,3.0,0-1-2,2-2-0,0-1-2,1,1,1,3.0,3.0,3.0
1,160,2,2.0,2.0,3.0,1-2-2,2-2-0,0-2-1,0,1,0,2.0,3.0,0.0
1,160,3,2.0,0.0,3.0,1-2-2,2-2-0,1-0-2,1,0,1,3.0,2.0,3.0
1,160,4,3.0,2.0,3.0,1-0-2,2-2-0,1-0-2,1,1,1,3.0,3.0,3.0
