seed,episode,soups,epsilon,sampled_roles,teacher_roles,agent_0_loss,agent_1_loss,agent_2_loss
0,0,0.0,1.0,1-0-0,1-0-0,1.1663256883621216,0.9281363487243652,1.2596873044967651
0,1,0.0,0.9974930362116992,2-0-1,2-0-1,1.1448372602462769,0.8084515929222107,0.9240878224372864
0,2,3.0,0.9949860724233983,2-0-2,2-0-2,1.1018564701080322,0.698020339012146,1.2887306213378906
0,3,4.0,0.9924791086350975,2-2-0,2-2-0,1.0362122058868408,1.7138042449951172,1.1538965702056885
0,4,0.0,0.9899721448467966,0-0-1,0-0-1,1.3634929656982422,0.5560302734375,0.9330564141273499
0,5,4.0,0.9874651810584958,2-1-2,2-1-2,0.9816595315933228,1.5211834907531738,1.333011507987976
0,6,6.0,0.984958217270195,1-2-0,1-2-0,1.139699935913086,1.7087287902832031,1.027538776397705
0,7,4.0,0.9824512534818941,1-2-1,1-2-1,1.1983585357666016,1.668433666229248,0.9853255152702332
0,8,3.0,0.9799442896935933,0-2-2,0-2-2,1.433086633682251,1.6007893085479736,1.271507740020752
0,9,0.0,0.9774373259052925,1-0-1,1-0-0,1.079310655593872,0.5519862174987793,1.0498566627502441
0,10,4.0,0.9749303621169917,2-1-1,1-2-0,1.1017448902130127,1.4536159038543701,0.9863530397415161
0,11,0.0,0.9724233983286908,1-2-1,1-0-0,1.0220119953155518,0.5886432528495789,1.0117641687393188
0,12,3.0,0.96991643454039,2-0-2,2-0-2,0.9704880118370056,0.6005702018737793,1.270132064819336
0,13,4.0,0.9674094707520892,0-2-2,0-2-2,1.435210108757019,1.285520315170288,1.259114384651184
0,14,0.0,0.9649025069637883,0-0-1,2-2-0,0.9518118500709534,1.2339859008789062,1.0082015991210938
0,15,0.0,0.9623955431754875,0-2-2,2-2-0,0.9556559324264526,1.1706407070159912,0.9858253002166748
0,16,0.0,0.9598885793871866,1-1-0,0-2-2,1.4532815217971802,1.099266767501831,1.2120870351791382
0,17,0.0,0.9573816155988858,0-1-0,2-1-2,0.9915592670440674,1.8961615562438965,1.2099448442459106
0,18,0.0,0.954874651810585,1-1-0,2-2-0,0.930091142654419,0.9633751511573792,0.9227626323699951
0,19,0.0,0.9523676880222841,1-1-0,1-2-0,1.0102427005767822,0.9152162075042725,0.7929599285125732
0,20,0.0,0.9498607242339833,0-2-0,1-2-0,1.0176301002502441,0.8545677661895752,0.7719539403915405
0,21,4.0,0.9473537604456824,2-0-0,2-0-0,0.8508039712905884,0.9145982265472412,0.8485568761825562
0,22,0.0,0.9448467966573816,0-1-0,2-2-0,0.8814148306846619,0.7298651337623596,0.8133667707443237
0,23,0.0,0.9423398328690807,0-1-2,1-2-1,1.0587091445922852,0.7056975960731506,1.6321830749511719
0,24,3.0,0.9398328690807799,1-2-2,2-1-2,0.9018004536628723,2.037508964538574,1.1767369508743286
