window_start,window_end,condition,predictions,nonempty_predictions,overall_accuracy,nonempty_accuracy
0,59,frozen_etm,12240,5420,0.3536764705882353,0.17785977859778598
0,59,dynamic_etm,12240,5420,0.48504901960784313,0.46826568265682655
60,119,frozen_etm,12240,5630,0.3321078431372549,0.1788632326820604
60,119,dynamic_etm,12240,5630,0.4409313725490196,0.47015985790408527
120,179,frozen_etm,12240,6034,0.24362745098039215,0.0038117335101093804
120,179,dynamic_etm,12240,6034,0.30016339869281045,0.43155452436194897
180,239,frozen_etm,12240,6752,0.21519607843137256,0.0
180,239,dynamic_etm,12240,6752,0.29411764705882354,0.49733412322274884
240,299,frozen_etm,12240,6970,0.19583333333333333,0.0
240,299,dynamic_etm,12240,6970,0.3130718954248366,0.49569583931133426
300,359,frozen_etm,12240,6726,0.2079248366013072,0.0023788284269997025
300,359,dynamic_etm,12240,6726,0.31037581699346406,0.5035682426404996
