seed,episode,soups,sampled_roles,teacher_roles,observed_roles
2,0,4.0,1-2-2,1-2-2,1-2-0
2,1,0.0,1-1-1,1-1-1,1-2-1
2,2,0.0,2-2-2,2-2-2,1-2-1
2,3,6.0,2-0-1,2-0-1,1-2-1
2,4,0.0,0-1-0,0-1-0,1-2-1
2,5,3.0,2-2-1,2-2-1,1-2-1
2,6,0.0,1-2-1,1-2-1,1-2-1
2,7,3.0,1-2-2,1-2-2,1-2-1
2,8,0.0,0-1-1,0-1-1,1-2-1
2,9,6.0,2-1-0,2-1-0,1-2-1
2,10,6.0,1-0-2,1-0-2,1-2-1
2,11,4.0,2-2-0,2-2-0,1-2-1
2,12,0.0,0-0-1,2-2-1,1-2-1
2,13,6.0,2-0-1,2-0-1,1-2-1
2,14,0.0,0-1-1,1-0-2,1-2-1
2,15,4.0,2-1-1,2-0-1,1-2-1
2,16,4.0,1-2-2,1-0-2,1-2-1
2,17,6.0,1-0-2,1-0-2,2-2-1
2,18,4.0,2-0-0,2-0-1,1-2-1
2,19,4.0,1-1-2,1-0-2,1-2-1
2,20,4.0,2-1-2,1-0-2,2-2-1
2,21,2.0,0-0-2,0-0-2,2-2-1
2,22,3.0,2-0-2,1-0-2,1-0-1
2,23,4.0,1-2-2,1-0-2,1-0-1
2,24,0.0,2-0-2,2-0-1,1-0-2
2,25,0.0,1-1-0,1-2-2,1-0-2
2,26,0.0,1-1-0,1-0-2,1-0-2
2,27,3.0,2-2-0,2-0-1,1-0-2
2,28,0.0,1-0-1,2-0-1,1-0-2
2,29,0.0,2-1-0,2-0-1,1-0-2
2,30,0.0,1-0-1,0-0-2,1-0-2
2,31,0.0,0-1-1,2-0-1,1-0-2
2,32,0.0,2-2-2,0-0-2,1-0-2
2,33,4.0,1-2-1,2-0-1,1-0-2
2,34,0.0,2-2-2,2-0-1,2-0-2
2,35,6.0,1-2-0,1-0-2,2-0-2
2,36,0.0,1-1-0,2-0-1,2-0-2
2,37,0.0,1-0-1,1-0-2,2-0-2
2,38,6.0,1-0-2,1-0-2,2-0-2
2,39,0.0,0-0-1,0-0-2,2-0-2
2,40,0.0,0-1-0,2-0-1,2-0-2
2,41,0.0,1-1-1,0-0-2,2-0-2
2,42,4.0,2-2-1,2-2-1,2-0-2
2,43,4.0,1-1-2,1-1-2,2-0-2
2,44,4.0,0-2-2,0-2-2,2-0-2
2,45,6.0,2-1-0,2-1-0,2-0-2
2,46,4.0,1-2-1,2-1-0,2-0-2
2,47,0.0,1-1-0,1-0-2,2-0-2
2,48,6.0,0-2-1,0-2-1,2-0-2
2,49,3.0,0-2-0,2-0-1,2-0-2
2,50,0.0,2-1-1,1-0-2,2-0-2
2,51,6.0,2-0-1,2-0-1,2-0-2
2,52,0.0,2-0-2,2-1-0,2-0-2
2,53,6.0,2-1-0,2-0-1,2-0-2
2,54,4.0,2-2-0,2-0-1,2-0-2
