window_start,window_end,condition,predictions,nonempty_predictions,overall_accuracy,nonempty_accuracy
0,59,frozen_etm,6120,2074,0.6385620915032679,0.0
0,59,dynamic_etm,6120,2074,0.5666666666666667,0.4768563162970106
60,119,frozen_etm,6120,3430,0.4395424836601307,0.0
60,119,dynamic_etm,6120,3430,0.40931372549019607,0.5040816326530613
120,179,frozen_etm,6120,3166,0.4826797385620915,0.0
120,179,dynamic_etm,6120,3166,0.4303921568627451,0.5360075805432722
180,239,frozen_etm,6120,3466,0.43366013071895426,0.0
180,239,dynamic_etm,6120,3466,0.4565359477124183,0.5516445470282747
240,299,frozen_etm,6120,2960,0.5163398692810458,0.0
240,299,dynamic_etm,6120,2960,0.42712418300653593,0.5135135135135135
300,359,frozen_etm,6120,3480,0.43137254901960786,0.0
300,359,dynamic_etm,6120,3480,0.46111111111111114,0.5522988505747126
