seed,episode,soups,sampled_roles,teacher_roles,observed_roles
4,0,2.0,0-2-0,0-2-0,0-0-1
4,1,0.0,1-2-0,1-2-0,0-2-0
4,2,0.0,0-0-0,0-0-0,0-2-0
4,3,0.0,1-0-0,1-0-0,0-2-0
4,4,0.0,2-1-1,0-0-0,0-2-0
4,5,4.0,2-1-2,2-1-2,0-2-0
4,6,6.0,0-1-2,0-1-2,0-2-0
4,7,0.0,1-1-0,2-1-2,0-0-0
4,8,0.0,0-1-0,2-1-2,0-0-0
4,9,3.0,2-2-0,2-2-0,0-0-0
4,10,6.0,2-1-0,2-1-0,0-0-0
4,11,0.0,0-1-1,2-1-2,0-0-0
4,12,0.0,2-2-2,2-2-0,0-0-0
4,13,4.0,2-0-2,2-0-2,0-0-0
4,14,6.0,1-0-2,1-0-2,0-0-0
4,15,4.0,1-2-1,1-2-1,0-0-0
4,16,4.0,2-2-1,2-2-1,0-0-0
4,17,6.0,1-0-2,1-0-2,2-0-0
4,18,0.0,0-2-0,1-0-2,2-0-0
4,19,4.0,2-0-0,0-1-2,2-0-0
4,20,0.0,2-2-2,1-0-0,2-0-0
4,21,4.0,2-0-0,2-0-0,2-0-0
4,22,0.0,0-0-1,0-0-1,2-0-0
4,23,0.0,0-1-2,2-0-0,2-0-0
4,24,6.0,1-2-0,1-0-2,2-0-2
4,25,3.0,0-2-2,2-0-0,2-0-2
4,26,0.0,0-0-1,0-1-2,2-0-2
4,27,3.0,2-2-1,0-1-2,2-0-2
4,28,0.0,2-0-0,2-1-0,2-0-2
4,29,6.0,2-0-1,1-0-2,2-0-2
4,30,0.0,0-2-1,0-1-2,2-0-2
4,31,0.0,2-2-2,1-0-2,2-0-2
4,32,0.0,1-1-0,2-0-0,2-0-2
4,33,6.0,0-2-1,0-2-1,2-0-2
4,34,0.0,1-0-2,2-1-0,2-0-2
4,35,4.0,1-2-2,0-1-2,2-0-2
4,36,0.0,1-1-1,2-0-0,2-0-2
4,37,6.0,0-1-2,0-1-2,2-0-2
4,38,0.0,0-1-1,0-1-2,2-0-2
4,39,0.0,0-2-2,0-0-1,2-0-2
4,40,0.0,1-1-0,2-1-0,2-0-2
4,41,4.0,2-1-1,0-2-1,2-0-2
4,42,0.0,1-1-0,0-1-2,2-0-2
4,43,0.0,1-1-2,0-2-1,2-0-2
4,44,3.0,0-2-0,0-1-2,0-1-2
4,45,1.0,0-0-2,0-1-2,0-0-2
4,46,4.0,2-0-0,2-0-0,0-1-2
4,47,4.0,2-2-0,2-0-0,0-1-2
4,48,6.0,2-1-0,2-1-0,0-1-2
4,49,0.0,1-1-1,2-1-0,0-1-2
4,50,0.0,0-1-0,0-1-2,0-1-2
4,51,4.0,1-1-2,1-1-2,0-1-2
4,52,0.0,0-1-0,1-1-2,0-1-2
4,53,6.0,0-1-2,0-1-2,0-1-2
4,54,4.0,0-2-2,0-1-2,0-1-2
4,55,0.0,0-0-0,0-1-2,0-1-2
4,56,6.0,1-2-0,0-1-2,0-1-2
4,57,4.0,1-2-2,2-1-0,0-1-2
4,58,0.0,2-2-2,1-1-2,0-1-2
4,59,6.0,0-1-2,0-1-2,0-1-2
4,60,4.0,2-1-2,0-1-2,0-1-2
4,61,4.0,1-2-2,1-1-2,0-1-2
4,62,0.0,1-2-1,0-1-2,0-1-2
4,63,0.0,1-1-1,0-1-2,0-1-2
4,64,2.0,0-2-0,0-2-1,0-1-2
4,65,6.0,1-2-0,0-1-2,0-1-2
4,66,3.0,1-2-2,0-1-2,0-1-2
4,67,4.0,2-1-1,0-1-2,0-1-2
4,68,3.0,2-2-1,0-1-2,0-1-2
4,69,0.0,2-0-2,0-1-2,0-1-2
4,70,0.0,2-2-2,0-1-2,0-1-2
4,71,0.0,1-0-1,0-1-2,0-1-2
4,72,0.0,1-1-0,0-1-2,0-1-2
4,73,0.0,0-0-1,0-1-2,0-1-2
4,74,0.0,1-1-0,0-1-2,0-1-2
4,75,0.0,0-0-0,0-1-2,0-1-2
4,76,0.0,2-2-2,0-1-2,0-1-2
4,77,4.0,2-1-1,0-1-2,0-1-2
4,78,0.0,1-0-1,0-1-2,0-1-2
4,79,6.0,0-2-1,0-2-1,0-1-2
4,80,4.0,1-1-2,0-1-2,0-1-2
4,81,0.0,0-1-0,0-1-2,0-1-2
4,82,4.0,2-1-2,0-1-2,0-1-2
4,83,4.0,2-0-2,0-2-1,0-1-2
4,84,4.0,1-1-2,0-1-2,0-1-2
4,85,0.0,2-2-0,0-2-1,0-1-2
4,86,0.0,1-0-1,0-2-1,0-1-2
4,87,0.0,1-0-0,0-2-1,0-1-2
4,88,0.0,0-1-1,0-1-2,0-1-2
4,89,0.0,2-0-2,0-2-1,0-1-2
4,90,4.0,1-1-2,0-1-2,0-1-2
4,91,4.0,2-1-1,0-1-2,0-1-2
4,92,0.0,0-0-1,0-2-1,0-1-2
4,93,4.0,1-2-1,0-2-1,0-1-2
4,94,0.0,1-0-0,0-1-2,0-1-2
4,95,0.0,2-2-0,0-1-2,0-1-2
4,96,6.0,0-2-1,0-1-2,0-1-2
4,97,2.0,0-0-2,0-1-2,0-1-2
4,98,6.0,1-2-0,0-2-1,0-1-2
4,99,4.0,0-2-2,0-2-1,0-1-2
4,100,4.0,2-2-1,0-1-2,0-1-2
4,101,0.0,1-0-1,0-1-2,0-1-2
4,102,6.0,2-0-1,0-1-2,0-1-2
4,103,6.0,2-0-1,0-1-2,0-1-2
4,104,0.0,0-1-1,0-1-2,0-1-2
4,105,0.0,0-0-1,0-1-2,0-1-2
4,106,0.0,0-1-0,0-1-2,0-1-2
4,107,0.0,1-0-1,0-1-2,0-1-2
4,108,0.0,2-1-1,0-1-2,0-1-2
4,109,6.0,0-1-2,0-1-2,0-1-2
4,110,3.0,2-0-2,0-1-2,0-1-2
4,111,6.0,2-0-1,0-1-2,0-1-2
4,112,3.0,2-0-2,0-1-2,0-1-2
4,113,0.0,0-1-0,0-1-2,0-1-2
4,114,6.0,2-1-0,0-2-1,0-1-2
4,115,6.0,1-0-2,0-1-2,0-1-2
4,116,0.0,0-0-2,0-1-2,0-1-2
4,117,0.0,1-0-0,0-1-2,0-1-2
4,118,0.0,0-1-1,0-1-2,0-1-2
4,119,1.0,0-2-0,0-1-2,0-1-2
4,120,0.0,0-1-1,0-1-2,0-1-2
4,121,6.0,2-1-0,0-1-2,0-1-2
4,122,3.0,2-1-2,0-2-1,0-1-2
4,123,4.0,2-2-0,0-1-2,0-1-2
4,124,6.0,0-1-2,0-1-2,0-1-2
4,125,6.0,0-1-2,0-1-2,0-1-2
4,126,0.0,0-0-2,0-1-2,0-1-2
4,127,6.0,1-2-0,0-1-2,0-1-2
4,128,6.0,0-1-2,0-1-2,0-1-2
4,129,0.0,0-1-1,0-2-1,0-1-2
4,130,6.0,0-2-1,0-1-2,0-1-2
4,131,6.0,1-2-0,0-1-2,0-1-2
4,132,0.0,1-0-1,0-1-2,0-1-2
4,133,3.0,2-2-0,0-1-2,0-1-2
4,134,0.0,0-0-1,0-1-2,0-1-2
4,135,0.0,2-0-1,0-1-2,0-1-2
4,136,0.0,1-0-1,0-1-2,0-1-2
4,137,6.0,0-1-2,0-1-2,0-1-2
4,138,0.0,1-2-1,0-1-2,0-1-2
4,139,4.0,2-2-1,0-1-2,0-1-2
4,140,4.0,2-2-1,0-1-2,0-1-2
4,141,0.0,0-0-0,0-1-2,0-1-2
4,142,2.0,0-0-2,0-2-1,0-1-2
4,143,0.0,1-0-0,0-2-1,0-1-2
4,144,4.0,2-1-2,0-1-2,0-1-2
4,145,0.0,0-2-0,0-2-1,0-1-2
4,146,4.0,2-0-0,0-1-2,0-1-2
4,147,0.0,2-2-0,0-1-2,0-1-2
4,148,6.0,1-0-2,0-2-1,0-1-2
4,149,6.0,1-0-2,0-1-2,0-1-2
4,150,0.0,0-0-0,0-1-2,0-1-2
4,151,0.0,0-0-0,0-1-2,0-1-2
4,152,0.0,1-1-1,0-1-2,0-1-2
4,153,0.0,2-0-0,0-1-2,0-1-2
4,154,3.0,0-2-2,0-1-2,0-1-2
4,155,6.0,2-0-1,0-2-1,0-1-2
4,156,4.0,1-2-1,0-1-2,0-1-2
4,157,0.0,1-1-1,0-1-2,0-1-2
4,158,6.0,0-2-1,0-1-2,0-1-2
4,159,0.0,0-1-2,0-2-1,0-1-2
4,160,4.0,1-2-1,0-1-2,0-1-2
4,161,0.0,1-0-1,0-2-1,0-1-2
4,162,0.0,1-0-0,0-2-1,0-1-2
4,163,4.0,1-1-2,0-1-2,0-1-2
4,164,0.0,1-1-2,0-1-2,0-1-2
4,165,0.0,1-0-0,0-1-2,0-1-2
4,166,0.0,0-1-2,0-2-1,0-1-2
4,167,0.0,1-1-0,0-2-1,0-1-2
4,168,3.0,2-1-2,0-1-2,0-1-2
4,169,0.0,2-2-0,0-1-2,0-1-2
4,170,0.0,0-1-0,0-1-2,0-1-2
4,171,6.0,0-1-2,0-1-2,0-1-2
4,172,6.0,2-1-0,0-1-2,0-1-2
4,173,1.0,0-0-2,0-1-2,0-1-2
4,174,6.0,0-1-2,0-1-2,0-1-2
4,175,0.0,1-1-1,0-1-2,0-1-2
4,176,4.0,2-2-0,0-1-2,0-1-2
4,177,3.0,1-2-2,0-1-2,0-1-2
4,178,6.0,0-1-2,0-1-2,0-1-2
4,179,6.0,1-0-2,0-2-1,0-1-2
4,180,4.0,1-2-2,0-1-2,0-1-2
4,181,3.0,1-2-2,0-1-2,0-1-2
4,182,6.0,0-1-2,0-1-2,0-1-2
4,183,0.0,1-2-0,0-1-2,0-1-2
4,184,6.0,0-1-2,0-1-2,0-1-2
4,185,6.0,0-1-2,0-1-2,0-1-2
4,186,0.0,0-2-2,0-1-2,0-1-2
4,187,4.0,1-1-2,0-1-2,0-1-2
4,188,6.0,0-1-2,0-1-2,0-1-2
4,189,4.0,2-2-1,0-1-2,0-1-2
4,190,0.0,0-1-2,0-2-1,0-1-2
4,191,6.0,1-2-0,0-1-2,0-1-2
4,192,6.0,0-1-2,0-1-2,0-1-2
4,193,6.0,0-1-2,0-1-2,0-1-2
4,194,6.0,0-1-2,0-1-2,0-1-2
4,195,0.0,0-1-2,0-2-1,0-1-2
4,196,6.0,0-1-2,0-1-2,0-1-2
4,197,6.0,0-1-2,0-1-2,0-1-2
4,198,6.0,2-0-1,0-1-2,0-1-2
4,199,0.0,2-1-0,0-1-2,0-1-2
4,200,4.0,1-2-1,0-1-2,0-1-2
4,201,1.0,0-0-2,0-1-2,0-1-2
4,202,0.0,2-0-1,0-1-2,0-1-2
4,203,4.0,1-2-2,0-1-2,0-1-2
4,204,3.0,2-2-1,0-1-2,0-1-2
4,205,6.0,0-1-2,0-1-2,0-1-2
4,206,6.0,0-1-2,0-1-2,0-1-2
4,207,6.0,0-1-2,0-1-2,0-1-2
4,208,6.0,0-1-2,0-1-2,0-1-2
4,209,6.0,1-2-0,0-1-2,0-1-2
4,210,0.0,1-0-0,0-1-2,0-1-2
4,211,6.0,0-1-2,0-1-2,0-1-2
4,212,0.0,0-1-1,0-1-2,0-1-2
4,213,6.0,0-1-2,0-1-2,0-1-2
4,214,6.0,0-1-2,0-1-2,0-1-2
4,215,6.0,0-1-2,0-1-2,0-1-2
4,216,0.0,0-0-0,0-1-2,0-1-2
4,217,6.0,2-0-1,0-1-2,0-1-2
4,218,4.0,1-1-2,0-1-2,0-1-2
4,219,4.0,1-2-2,0-1-2,0-1-2
4,220,0.0,0-1-2,0-2-1,0-1-2
4,221,6.0,0-1-2,0-1-2,0-1-2
4,222,6.0,1-2-0,0-1-2,0-1-2
4,223,6.0,0-1-2,0-1-2,0-1-2
4,224,6.0,0-1-2,0-1-2,0-1-2
4,225,6.0,1-0-2,0-1-2,0-1-2
4,226,6.0,1-2-0,0-2-1,0-1-2
4,227,6.0,0-1-2,0-1-2,0-1-2
4,228,0.0,0-0-0,0-1-2,0-1-2
4,229,6.0,0-1-2,0-1-2,0-1-2
4,230,6.0,0-1-2,0-1-2,0-1-2
4,231,4.0,1-2-2,0-2-1,0-1-2
4,232,6.0,0-1-2,0-1-2,0-1-2
4,233,6.0,0-1-2,0-1-2,0-1-2
4,234,6.0,0-1-2,0-1-2,0-1-2
4,235,4.0,2-0-2,0-1-2,0-1-2
4,236,0.0,0-1-2,0-2-1,0-1-2
4,237,0.0,0-1-2,0-2-1,0-1-2
4,238,0.0,0-1-2,0-2-1,0-1-2
4,239,6.0,0-1-2,0-1-2,0-1-2
4,240,0.0,0-1-2,0-2-1,0-1-2
4,241,2.0,0-0-2,0-2-1,0-1-2
4,242,6.0,0-1-2,0-1-2,0-1-2
4,243,0.0,2-0-0,0-1-2,0-1-2
4,244,6.0,1-2-0,0-1-2,0-1-2
4,245,4.0,1-2-2,0-2-1,0-2-2
4,246,6.0,0-1-2,0-1-2,0-1-2
4,247,6.0,0-1-2,0-1-2,0-1-2
4,248,6.0,0-1-2,0-1-2,0-1-2
4,249,0.0,0-2-2,0-1-2,0-2-2
4,250,6.0,0-1-2,0-1-2,0-1-2
4,251,6.0,2-0-1,0-2-1,0-2-2
4,252,6.0,0-1-2,0-1-2,0-1-2
4,253,3.0,0-2-2,0-2-1,0-2-2
4,254,0.0,0-2-2,0-1-2,0-2-2
4,255,0.0,1-2-1,0-1-2,0-1-2
4,256,4.0,1-1-2,0-2-1,0-2-2
4,257,0.0,0-1-1,0-2-1,0-2-2
4,258,0.0,0-2-2,0-1-2,0-2-2
4,259,6.0,0-1-2,0-1-2,0-1-2
4,260,6.0,0-1-2,0-1-2,0-1-2
4,261,6.0,0-1-2,0-1-2,0-1-2
4,262,6.0,0-1-2,0-1-2,0-1-2
4,263,3.0,0-2-2,0-2-1,0-2-2
4,264,0.0,1-2-1,0-1-2,0-1-2
4,265,6.0,0-1-2,0-1-2,0-1-2
4,266,6.0,0-1-2,0-1-2,0-1-2
4,267,3.0,0-2-2,0-2-1,0-2-2
4,268,6.0,0-1-2,0-1-2,0-1-2
4,269,6.0,1-2-0,0-1-2,0-1-2
4,270,0.0,2-2-2,0-1-2,0-1-2
4,271,0.0,0-1-2,0-2-1,0-1-2
4,272,6.0,0-1-2,0-1-2,0-1-2
4,273,0.0,0-1-0,0-1-2,0-1-2
4,274,0.0,0-1-2,0-2-1,0-1-2
4,275,6.0,0-1-2,0-1-2,0-1-2
4,276,6.0,0-1-2,0-1-2,0-1-2
4,277,0.0,0-1-2,0-2-1,0-1-2
4,278,6.0,0-1-2,0-1-2,0-1-2
4,279,3.0,2-2-0,0-1-2,0-1-2
4,280,6.0,0-1-2,0-1-2,0-1-2
4,281,6.0,0-1-2,0-1-2,0-1-2
4,282,6.0,0-1-2,0-1-2,0-1-2
4,283,0.0,1-0-0,0-1-2,0-1-2
4,284,4.0,2-1-2,0-1-2,0-1-2
4,285,0.0,0-1-2,0-2-1,0-1-2
4,286,0.0,0-1-2,0-2-1,0-1-2
4,287,0.0,1-1-1,0-2-1,0-1-2
4,288,6.0,0-1-2,0-1-2,0-1-2
4,289,0.0,0-1-2,0-2-1,0-1-2
4,290,6.0,0-1-2,0-1-2,0-2-2
4,291,6.0,0-1-2,0-1-2,0-1-2
