window_start,window_end,condition,predictions,nonempty_predictions,overall_accuracy,nonempty_accuracy
0,39,evolving_frozen,2160,1004,0.3824074074074074,0.04183266932270916
0,39,evolving_dynamic,2160,1004,0.41203703703703703,0.4213147410358566
0,39,evolving_stale_budget,2160,1004,0.387037037037037,0.060756972111553786
0,39,static_frozen,2160,976,0.6166666666666667,0.41188524590163933
0,39,static_dynamic,2160,976,0.9467592592592593,0.9016393442622951
40,79,evolving_frozen,2160,944,0.45185185185185184,0.05296610169491525
40,79,evolving_dynamic,2160,944,0.41712962962962963,0.4279661016949153
40,79,evolving_stale_budget,2160,944,0.4310185185185185,0.05296610169491525
40,79,static_frozen,2160,1004,0.600925925925926,0.39641434262948205
40,79,static_dynamic,2160,1004,0.962037037037037,0.9272908366533864
80,119,evolving_frozen,2160,922,0.4861111111111111,0.13449023861171366
80,119,evolving_dynamic,2160,922,0.5837962962962963,0.2928416485900217
80,119,evolving_stale_budget,2160,922,0.44675925925925924,0.1019522776572668
80,119,static_frozen,2160,1000,0.5537037037037037,0.342
80,119,static_dynamic,2160,1000,0.9643518518518519,0.936
120,159,evolving_frozen,2160,988,0.45,0.1194331983805668
120,159,evolving_dynamic,2160,988,0.40185185185185185,0.347165991902834
120,159,evolving_stale_budget,2160,988,0.38287037037037036,0.058704453441295545
120,159,static_frozen,2160,984,0.5462962962962963,0.3333333333333333
120,159,static_dynamic,2160,984,0.9662037037037037,0.9400406504065041
