window_start,window_end,condition,predictions,nonempty_predictions,overall_accuracy,nonempty_accuracy
0,39,evolving_frozen,2160,1004,0.4708333333333333,0.1942231075697211
0,39,evolving_dynamic,2160,1004,0.40879629629629627,0.45617529880478086
0,39,evolving_stale_budget,2160,1004,0.4810185185185185,0.18426294820717132
0,39,static_frozen,2160,976,0.9574074074074074,0.9221311475409836
0,39,static_dynamic,2160,976,0.9629629629629629,0.9313524590163934
40,79,evolving_frozen,2160,944,0.4273148148148148,0.11440677966101695
40,79,evolving_dynamic,2160,944,0.34074074074074073,0.4735169491525424
40,79,evolving_stale_budget,2160,944,0.4305555555555556,0.09216101694915255
40,79,static_frozen,2160,1004,0.9638888888888889,0.9312749003984063
40,79,static_dynamic,2160,1004,0.975925925925926,0.953187250996016
80,119,evolving_frozen,2160,922,0.4736111111111111,0.15509761388286333
80,119,evolving_dynamic,2160,922,0.525,0.40238611713665945
80,119,evolving_stale_budget,2160,922,0.47685185185185186,0.16919739696312364
80,119,static_frozen,2160,1000,0.9629629629629629,0.93
80,119,static_dynamic,2160,1000,0.9847222222222223,0.974
120,159,evolving_frozen,2160,988,0.3902777777777778,0.12550607287449392
120,159,evolving_dynamic,2160,988,0.3990740740740741,0.45951417004048584
120,159,evolving_stale_budget,2160,988,0.4097222222222222,0.10728744939271255
120,159,static_frozen,2160,984,0.9574074074074074,0.9207317073170732
120,159,static_dynamic,2160,984,0.9819444444444444,0.9684959349593496
