window_start,window_end,condition,predictions,nonempty_predictions,overall_accuracy,nonempty_accuracy
0,59,evolving_frozen,6120,2994,0.665359477124183,0.7384769539078156
0,59,evolving_dynamic,6120,2994,0.725,0.7541750167000668
0,59,evolving_stale_budget,6120,2994,0.7465686274509804,0.7458249832999332
0,59,static_frozen,6120,3070,0.7911764705882353,0.8661237785016287
0,59,static_dynamic,6120,3070,0.875,0.885342019543974
60,119,evolving_frozen,6120,3372,0.3187908496732026,0.23457888493475682
60,119,evolving_dynamic,6120,3372,0.515686274509804,0.6017200474495848
60,119,evolving_stale_budget,6120,3372,0.3611111111111111,0.20551601423487545
60,119,static_frozen,6120,3532,0.7787581699346405,0.8618346545866364
60,119,static_dynamic,6120,3532,0.8521241830065359,0.8847678369195923
120,179,evolving_frozen,6120,3242,0.32287581699346407,0.22578655151141272
120,179,evolving_dynamic,6120,3242,0.6794117647058824,0.702652683528686
120,179,evolving_stale_budget,6120,3242,0.31781045751633985,0.15422578655151142
120,179,static_frozen,6120,3658,0.784640522875817,0.8679606342263532
120,179,static_dynamic,6120,3658,0.8885620915032679,0.919901585565883
180,239,evolving_frozen,6120,3548,0.3145424836601307,0.23252536640360766
180,239,evolving_dynamic,6120,3548,0.7207516339869281,0.7392897406989853
180,239,evolving_stale_budget,6120,3548,0.2983660130718954,0.13923337091319052
180,239,static_frozen,6120,3352,0.7913398692810457,0.8666467780429594
180,239,static_dynamic,6120,3352,0.8841503267973856,0.899164677804296
240,299,evolving_frozen,6120,3378,0.3179738562091503,0.23268206039076378
240,299,evolving_dynamic,6120,3378,0.7354575163398693,0.7442273534635879
240,299,evolving_stale_budget,6120,3378,0.32941176470588235,0.1483126110124334
240,299,static_frozen,6120,3346,0.7870915032679738,0.8661087866108786
240,299,static_dynamic,6120,3346,0.886437908496732,0.9052600119545726
300,359,evolving_frozen,6120,3598,0.3099673202614379,0.24041133963312952
300,359,evolving_dynamic,6120,3598,0.717156862745098,0.7329071706503613
300,359,evolving_stale_budget,6120,3598,0.30637254901960786,0.13285158421345192
300,359,static_frozen,6120,3190,0.7820261437908497,0.861128526645768
300,359,static_dynamic,6120,3190,0.9259803921568628,0.9282131661442006
