update,episodes_seen,environment_steps_in_update,mean_sampled_raw_reward,positive_sampled_episodes
1,24,1200,0.0,0
2,48,1200,0.0,0
3,72,1200,0.0,0
4,96,1200,0.0,0
5,120,1200,0.0,0
6,144,1200,0.0,0
7,168,1200,0.0,0
8,192,1200,0.0,0
9,216,1200,0.0,0
10,240,1200,0.0,0
11,264,1200,0.0,0
12,288,1200,0.0,0
13,312,1200,0.0,0
14,336,1200,0.0,0
15,360,1200,0.0,0
16,384,1200,0.0,0
17,408,1200,0.0,0
18,432,1200,0.0,0
19,456,1200,0.0,0
20,480,1200,0.0,0
21,504,1200,0.0,0
22,528,1200,0.0,0
23,552,1200,0.0,0
24,576,1200,0.0,0
25,600,1200,0.0,0
26,624,1200,0.0,0
27,648,1200,0.0,0
28,672,1200,0.0,0
29,696,1200,0.0,0
30,720,1200,0.0,0
31,744,1200,0.020833333333333332,1
32,768,1200,0.0,0
33,792,1200,0.0,0
34,816,1200,0.0,0
35,840,1200,0.0,0
36,864,1200,0.0,0
37,888,1200,0.0,0
38,912,1200,0.0,0
39,936,1200,0.0,0
40,960,1200,0.0,0
41,984,1200,0.0,0
42,1008,1200,0.0,0
43,1032,1200,0.0,0
44,1056,1200,0.0,0
45,1080,1200,0.0,0
46,1104,1200,0.0,0
47,1128,1200,0.0,0
48,1152,1200,0.0,0
49,1176,1200,0.0,0
50,1200,1200,0.0,0
51,1224,1200,0.0,0
52,1248,1200,0.0,0
53,1272,1200,0.0,0
54,1296,1200,0.0,0
55,1320,1200,0.0,0
56,1344,1200,0.0,0
57,1368,1200,0.0,0
58,1392,1200,0.0,0
59,1416,1200,0.0,0
60,1440,1200,0.0,0
