seed,episode,condition,soups,teacher_role_correct,chosen_roles,teacher_roles,proposals
0,0,no_etm,1.0,0,1-2-0,0-0-2,1-1-0
0,0,frozen_etm,1.0,0,1-2-0,0-0-2,1-1-0
0,0,dynamic_etm,1.0,0,1-2-0,0-0-2,1-1-0
0,1,no_etm,2.0,3,1-2-0,1-2-0,1-1-0
0,1,frozen_etm,0.0,2,1-0-0,1-2-0,1-1-0
0,1,dynamic_etm,0.0,2,1-0-0,1-2-0,1-1-0
0,2,no_etm,2.0,3,1-2-0,1-2-0,1-0-0
0,2,frozen_etm,2.0,3,1-2-0,1-2-0,1-0-0
0,2,dynamic_etm,2.0,3,1-2-0,1-2-0,1-0-0
0,3,no_etm,2.0,3,1-2-0,1-2-0,1-0-0
0,3,frozen_etm,2.0,3,1-2-0,1-2-0,1-0-0
0,3,dynamic_etm,2.0,3,1-2-0,1-2-0,1-0-0
0,4,no_etm,2.0,0,1-2-0,2-1-1,1-0-0
0,4,frozen_etm,2.0,0,1-2-0,2-1-1,1-0-0
0,4,dynamic_etm,2.0,0,1-2-0,2-1-1,1-0-0
0,5,no_etm,0.0,2,1-2-0,1-1-0,1-0-0
0,5,frozen_etm,0.0,2,1-2-0,1-1-0,1-0-0
0,5,dynamic_etm,0.0,2,1-2-0,1-1-0,1-0-0
0,6,no_etm,2.0,0,1-2-0,2-1-2,1-0-0
0,6,frozen_etm,2.0,0,1-2-0,2-1-2,1-0-0
0,6,dynamic_etm,2.0,0,1-2-0,2-1-2,1-0-0
0,7,no_etm,2.0,0,1-2-0,2-1-2,1-0-0
0,7,frozen_etm,2.0,0,1-2-0,2-1-2,1-0-0
0,7,dynamic_etm,2.0,0,1-2-0,2-1-2,1-0-0
0,8,no_etm,2.0,2,1-2-0,1-2-2,1-1-0
0,8,frozen_etm,2.0,2,1-2-0,1-2-2,1-1-0
0,8,dynamic_etm,2.0,2,1-2-0,1-2-2,1-1-0
0,9,no_etm,1.0,0,1-2-0,0-0-2,1-2-0
0,9,frozen_etm,1.0,0,1-2-0,0-0-2,1-2-0
0,9,dynamic_etm,1.0,0,1-2-0,0-0-2,1-2-0
0,10,no_etm,2.0,0,1-2-0,2-1-2,1-1-0
0,10,frozen_etm,2.0,0,1-2-0,2-1-2,1-1-0
0,10,dynamic_etm,2.0,0,1-2-0,2-1-2,1-1-0
0,11,no_etm,1.0,0,1-2-0,0-0-2,1-2-0
0,11,frozen_etm,1.0,0,1-2-0,0-0-2,1-2-0
0,11,dynamic_etm,1.0,0,1-2-0,0-0-2,1-2-0
0,12,no_etm,1.0,0,1-2-0,0-0-2,1-2-0
0,12,frozen_etm,1.0,0,1-2-0,0-0-2,1-2-0
0,12,dynamic_etm,1.0,0,1-2-0,0-0-2,1-2-0
0,13,no_etm,1.0,1,1-2-0,2-1-0,1-2-0
0,13,frozen_etm,1.0,0,1-2-2,2-1-0,1-2-0
0,13,dynamic_etm,1.0,0,1-2-2,2-1-0,1-2-0
0,14,no_etm,2.0,3,1-2-0,1-2-0,1-2-0
0,14,frozen_etm,1.0,2,1-2-2,1-2-0,1-2-0
0,14,dynamic_etm,1.0,2,1-2-2,1-2-0,1-2-0
0,15,no_etm,1.0,2,1-2-2,1-2-0,1-2-0
0,15,frozen_etm,1.0,2,1-2-2,1-2-0,1-2-0
0,15,dynamic_etm,1.0,2,1-2-2,1-2-0,1-2-0
0,16,no_etm,1.0,1,1-2-0,2-1-0,1-2-2
0,16,frozen_etm,1.0,1,1-2-0,2-1-0,1-2-2
0,16,dynamic_etm,1.0,1,1-2-0,2-1-0,1-2-2
0,17,no_etm,0.0,1,1-2-0,0-2-1,1-1-2
0,17,frozen_etm,1.0,1,1-2-2,0-2-1,1-1-2
0,17,dynamic_etm,1.0,1,1-2-2,0-2-1,1-1-2
0,18,no_etm,1.0,2,1-2-2,1-2-0,1-2-0
0,18,frozen_etm,1.0,2,1-2-2,1-2-0,1-2-0
0,18,dynamic_etm,1.0,2,1-2-2,1-2-0,1-2-0
0,19,no_etm,2.0,0,1-2-0,2-1-2,1-1-2
0,19,frozen_etm,2.0,0,1-2-0,2-1-2,1-1-2
0,19,dynamic_etm,2.0,0,1-2-0,2-1-2,1-1-2
0,20,no_etm,2.0,0,1-2-0,2-1-2,1-1-2
0,20,frozen_etm,1.0,1,1-2-2,2-1-2,1-1-2
0,20,dynamic_etm,1.0,1,1-2-2,2-1-2,1-1-2
0,21,no_etm,1.0,0,1-2-2,2-1-0,1-1-0
0,21,frozen_etm,1.0,0,1-2-2,2-1-0,1-1-0
0,21,dynamic_etm,1.0,0,1-2-2,2-1-0,1-1-0
0,22,no_etm,1.0,2,1-2-2,1-2-0,1-2-0
0,22,frozen_etm,2.0,3,1-2-0,1-2-0,1-2-0
0,22,dynamic_etm,2.0,3,1-2-0,1-2-0,1-2-0
0,23,no_etm,1.0,1,1-2-2,2-1-2,1-1-0
0,23,frozen_etm,2.0,0,1-2-0,2-1-2,1-1-0
0,23,dynamic_etm,2.0,0,1-2-0,2-1-2,1-1-0
0,24,no_etm,0.0,1,1-2-0,0-2-1,1-1-2
0,24,frozen_etm,1.0,1,1-2-2,0-2-1,1-1-2
0,24,dynamic_etm,1.0,1,1-2-2,0-2-1,1-1-2
0,25,no_etm,2.0,0,1-2-0,2-1-2,1-1-2
0,25,frozen_etm,2.0,0,1-2-0,2-1-2,1-1-2
0,25,dynamic_etm,2.0,0,1-2-0,2-1-2,1-1-2
0,26,no_etm,1.0,1,1-2-2,2-1-2,1-1-2
0,26,frozen_etm,1.0,1,1-2-2,2-1-2,1-1-2
0,26,dynamic_etm,1.0,1,1-2-2,2-1-2,1-1-2
0,27,no_etm,1.0,1,1-2-2,0-2-1,1-1-2
0,27,frozen_etm,1.0,1,1-2-2,0-2-1,1-1-2
0,27,dynamic_etm,1.0,1,1-2-2,0-2-1,1-1-2
0,28,no_etm,1.0,2,1-2-2,1-2-0,1-2-0
0,28,frozen_etm,2.0,3,1-2-0,1-2-0,1-2-0
0,28,dynamic_etm,2.0,3,1-2-0,1-2-0,1-2-0
0,29,no_etm,1.0,0,1-2-2,2-0-0,1-1-2
0,29,frozen_etm,1.0,1,2-1-2,2-0-0,1-1-2
0,29,dynamic_etm,1.0,1,2-1-2,2-0-0,1-1-2
0,30,no_etm,1.0,1,1-2-2,0-2-1,1-1-2
0,30,frozen_etm,1.0,0,2-1-2,0-2-1,1-1-2
0,30,dynamic_etm,1.0,0,2-1-2,0-2-1,1-1-2
0,31,no_etm,1.0,2,2-2-0,2-1-0,2-1-0
0,31,frozen_etm,0.0,1,2-2-2,2-1-0,2-1-0
0,31,dynamic_etm,0.0,1,2-2-2,2-1-0,2-1-0
0,32,no_etm,1.0,2,2-2-0,1-2-0,2-2-0
0,32,frozen_etm,1.0,2,2-2-0,1-2-0,2-2-0
0,32,dynamic_etm,1.0,2,2-2-0,1-2-0,2-2-0
0,33,no_etm,0.0,1,2-2-2,2-0-0,2-1-2
0,33,frozen_etm,0.0,1,2-2-2,2-0-0,2-1-2
0,33,dynamic_etm,0.0,1,2-2-2,2-0-0,2-1-2
0,34,no_etm,0.0,1,2-2-2,0-2-1,2-2-2
0,34,frozen_etm,0.0,1,2-2-2,0-2-1,2-2-2
0,34,dynamic_etm,0.0,1,2-2-2,0-2-1,2-2-2
0,35,no_etm,0.0,1,2-2-2,0-2-1,2-2-2
0,35,frozen_etm,0.0,1,2-2-2,0-2-1,2-2-2
0,35,dynamic_etm,0.0,1,2-2-2,0-2-1,2-2-2
0,36,no_etm,0.0,1,2-2-0,2-1-2,2-1-0
0,36,frozen_etm,0.0,1,2-2-0,2-1-2,2-1-0
0,36,dynamic_etm,0.0,1,2-2-0,2-1-2,2-1-0
0,37,no_etm,0.0,1,2-2-2,1-0-2,2-1-2
0,37,frozen_etm,0.0,1,2-2-2,1-0-2,2-1-2
0,37,dynamic_etm,0.0,1,2-2-2,1-0-2,2-1-2
