window_start,window_end,condition,predictions,nonempty_predictions,overall_accuracy,nonempty_accuracy
0,39,frozen_etm,5280,1900,0.5649621212121212,0.5305263157894737
0,39,dynamic_etm,5280,1900,0.5649621212121212,0.5305263157894737
40,79,frozen_etm,5280,2720,0.4799242424242424,0.5463235294117647
40,79,dynamic_etm,5280,2720,0.5895833333333333,0.6713235294117647
80,119,frozen_etm,5280,2510,0.3990530303030303,0.4358565737051793
80,119,dynamic_etm,5280,2510,0.6901515151515152,0.6904382470119522
120,159,frozen_etm,5280,2424,0.2767045454545455,0.22772277227722773
120,159,dynamic_etm,5280,2424,0.6479166666666667,0.7083333333333334
160,199,frozen_etm,5280,3046,0.3386363636363636,0.3017071569271175
160,199,dynamic_etm,5280,3046,0.7145833333333333,0.7764281024294156
200,239,frozen_etm,5280,2834,0.33731060606060603,0.30804516584333097
200,239,dynamic_etm,5280,2834,0.7534090909090909,0.8334509527170078
