window_start,window_end,condition,predictions,nonempty_predictions,overall_accuracy,nonempty_accuracy
0,39,frozen_etm,2640,620,0.7981060606060606,0.5919354838709677
0,39,dynamic_etm,2640,620,0.7981060606060606,0.5919354838709677
40,79,frozen_etm,2640,1294,0.3946969696969697,0.437403400309119
40,79,dynamic_etm,2640,1294,0.5340909090909091,0.616692426584235
80,119,frozen_etm,2640,1496,0.2321969696969697,0.2620320855614973
80,119,dynamic_etm,2640,1496,0.5446969696969697,0.6597593582887701
120,159,frozen_etm,2640,1520,0.2840909090909091,0.3736842105263158
120,159,dynamic_etm,2640,1520,0.6534090909090909,0.7493421052631579
160,199,frozen_etm,2640,1378,0.2515151515151515,0.3563134978229318
160,199,dynamic_etm,2640,1378,0.7420454545454546,0.816400580551524
200,239,frozen_etm,2640,1520,0.2428030303030303,0.28421052631578947
200,239,dynamic_etm,2640,1520,0.8159090909090909,0.8769736842105263
