seed,episode,condition,soups,intent_correct,prediction_events,role_changed
0,0,frozen_etm,2.0,2,6,0
0,0,dynamic_etm,2.0,2,6,0
0,1,frozen_etm,2.0,1,6,1
0,1,dynamic_etm,2.0,1,6,1
0,2,frozen_etm,2.0,2,6,1
0,2,dynamic_etm,2.0,2,6,1
0,3,frozen_etm,2.0,3,6,1
0,3,dynamic_etm,2.0,3,6,1
0,4,frozen_etm,3.0,1,6,1
0,4,dynamic_etm,3.0,1,6,1
0,5,frozen_etm,2.0,2,6,1
0,5,dynamic_etm,2.0,2,6,1
0,6,frozen_etm,2.0,4,6,1
0,6,dynamic_etm,2.0,4,6,1
0,7,frozen_etm,0.0,4,6,0
0,7,dynamic_etm,0.0,4,6,0
0,8,frozen_etm,2.0,5,6,1
0,8,dynamic_etm,2.0,5,6,1
0,9,frozen_etm,2.0,4,6,1
0,9,dynamic_etm,2.0,4,6,1
0,10,frozen_etm,0.0,4,6,1
0,10,dynamic_etm,0.0,4,6,1
0,11,frozen_etm,2.0,5,6,1
0,11,dynamic_etm,2.0,5,6,1
0,12,frozen_etm,2.0,4,6,1
0,12,dynamic_etm,2.0,4,6,1
0,13,frozen_etm,3.0,4,6,1
0,13,dynamic_etm,3.0,4,6,1
0,14,frozen_etm,2.0,4,6,0
0,14,dynamic_etm,2.0,4,6,0
0,15,frozen_etm,3.0,5,6,1
0,15,dynamic_etm,3.0,5,6,1
0,16,frozen_etm,3.0,4,6,1
0,16,dynamic_etm,3.0,4,6,1
0,17,frozen_etm,2.0,6,6,0
0,17,dynamic_etm,2.0,6,6,0
0,18,frozen_etm,3.0,5,6,1
0,18,dynamic_etm,3.0,5,6,1
0,19,frozen_etm,0.0,4,6,1
0,19,dynamic_etm,0.0,4,6,1
0,20,frozen_etm,2.0,6,6,0
0,20,dynamic_etm,2.0,6,6,0
0,21,frozen_etm,3.0,5,6,1
0,21,dynamic_etm,3.0,5,6,1
0,22,frozen_etm,3.0,4,6,1
0,22,dynamic_etm,3.0,4,6,1
0,23,frozen_etm,0.0,6,6,0
0,23,dynamic_etm,0.0,6,6,0
0,24,frozen_etm,0.0,5,6,1
0,24,dynamic_etm,0.0,5,6,1
0,25,frozen_etm,2.0,4,6,1
0,25,dynamic_etm,2.0,4,6,1
0,26,frozen_etm,2.0,6,6,0
0,26,dynamic_etm,2.0,6,6,0
0,27,frozen_etm,0.0,5,6,1
0,27,dynamic_etm,0.0,5,6,1
0,28,frozen_etm,3.0,4,6,1
0,28,dynamic_etm,3.0,4,6,1
0,29,frozen_etm,2.0,6,6,0
0,29,dynamic_etm,2.0,6,6,0
0,30,frozen_etm,0.0,5,6,1
0,30,dynamic_etm,0.0,5,6,1
0,31,frozen_etm,3.0,4,6,1
0,31,dynamic_etm,3.0,4,6,1
0,32,frozen_etm,3.0,4,6,0
0,32,dynamic_etm,3.0,4,6,0
0,33,frozen_etm,2.0,5,6,1
0,33,dynamic_etm,2.0,5,6,1
0,34,frozen_etm,2.0,4,6,1
0,34,dynamic_etm,2.0,4,6,1
0,35,frozen_etm,2.0,4,6,0
0,35,dynamic_etm,2.0,4,6,0
0,36,frozen_etm,3.0,5,6,1
0,36,dynamic_etm,3.0,5,6,1
0,37,frozen_etm,0.0,5,6,1
0,37,dynamic_etm,0.0,5,6,1
0,38,frozen_etm,2.0,4,6,0
0,38,dynamic_etm,2.0,4,6,0
0,39,frozen_etm,0.0,3,6,1
0,39,dynamic_etm,0.0,3,6,1
0,40,frozen_etm,2.0,5,6,1
0,40,dynamic_etm,2.0,5,6,1
0,41,frozen_etm,3.0,4,6,0
0,41,dynamic_etm,3.0,4,6,0
0,42,frozen_etm,2.0,5,6,1
0,42,dynamic_etm,2.0,5,6,1
0,43,frozen_etm,3.0,6,6,0
0,43,dynamic_etm,3.0,6,6,0
0,44,frozen_etm,0.0,5,6,0
0,44,dynamic_etm,0.0,5,6,0
0,45,frozen_etm,0.0,4,6,1
0,45,dynamic_etm,0.0,4,6,1
0,46,frozen_etm,3.0,6,6,0
0,46,dynamic_etm,3.0,6,6,0
0,47,frozen_etm,0.0,5,6,0
0,47,dynamic_etm,0.0,5,6,0
0,48,frozen_etm,0.0,2,6,1
0,48,dynamic_etm,0.0,2,6,1
0,49,frozen_etm,3.0,6,6,0
0,49,dynamic_etm,3.0,6,6,0
0,50,frozen_etm,3.0,5,6,1
0,50,dynamic_etm,3.0,5,6,1
0,51,frozen_etm,0.0,5,6,1
0,51,dynamic_etm,0.0,5,6,1
0,52,frozen_etm,0.0,4,6,0
0,52,dynamic_etm,0.0,4,6,0
0,53,frozen_etm,0.0,5,6,1
0,53,dynamic_etm,0.0,6,6,1
0,54,frozen_etm,0.0,5,6,1
0,54,dynamic_etm,3.0,4,6,0
0,55,frozen_etm,3.0,6,6,0
0,55,dynamic_etm,3.0,6,6,0
0,56,frozen_etm,0.0,5,6,1
0,56,dynamic_etm,0.0,6,6,1
0,57,frozen_etm,0.0,5,6,1
0,57,dynamic_etm,3.0,4,6,0
0,58,frozen_etm,2.0,4,6,0
0,58,dynamic_etm,2.0,4,6,0
0,59,frozen_etm,3.0,5,6,0
0,59,dynamic_etm,3.0,6,6,0
0,60,frozen_etm,0.0,5,6,1
0,60,dynamic_etm,3.0,4,6,0
0,61,frozen_etm,2.0,6,6,0
0,61,dynamic_etm,2.0,6,6,0
0,62,frozen_etm,0.0,5,6,1
0,62,dynamic_etm,0.0,6,6,1
0,63,frozen_etm,0.0,5,6,1
0,63,dynamic_etm,3.0,4,6,0
0,64,frozen_etm,2.0,6,6,0
0,64,dynamic_etm,2.0,6,6,0
0,65,frozen_etm,3.0,5,6,0
0,65,dynamic_etm,3.0,6,6,0
0,66,frozen_etm,0.0,5,6,1
0,66,dynamic_etm,3.0,6,6,0
0,67,frozen_etm,3.0,6,6,0
0,67,dynamic_etm,3.0,6,6,0
0,68,frozen_etm,2.0,5,6,1
0,68,dynamic_etm,2.0,6,6,1
0,69,frozen_etm,0.0,3,6,1
0,69,dynamic_etm,2.0,4,6,0
0,70,frozen_etm,3.0,6,6,0
0,70,dynamic_etm,3.0,6,6,0
0,71,frozen_etm,2.0,5,6,0
0,71,dynamic_etm,2.0,6,6,0
0,72,frozen_etm,0.0,5,6,1
0,72,dynamic_etm,3.0,6,6,0
0,73,frozen_etm,2.0,6,6,0
0,73,dynamic_etm,2.0,6,6,0
0,74,frozen_etm,0.0,5,6,1
0,74,dynamic_etm,0.0,6,6,1
0,75,frozen_etm,0.0,3,6,1
0,75,dynamic_etm,2.0,4,6,1
0,76,frozen_etm,0.0,2,6,0
0,76,dynamic_etm,0.0,2,6,0
0,77,frozen_etm,0.0,3,6,1
0,77,dynamic_etm,0.0,4,6,1
0,78,frozen_etm,0.0,5,6,1
0,78,dynamic_etm,3.0,6,6,0
0,79,frozen_etm,3.0,6,6,0
0,79,dynamic_etm,3.0,6,6,0
