scenario,candidate,responder,observer,own_role,own_x,own_y,belief_0,belief_1,soups
0,0,0,0,0,2,3,"[0.4847212683897336, 0.11100476744478781, 0.40427396416547856]","[0.12681142216952376, 0.5502762069356384, 0.3229123708948379]",0.0
0,0,0,1,0,10,3,"[0.5748784073929488, 0.31559435543776276, 0.10952723716928843]","[0.05242139380563912, 0.8260848799493223, 0.12149372624503856]",0.0
0,0,0,2,1,6,3,"[0.7061043704967322, 0.16801132389049128, 0.12588430561277647]","[0.8390884195307637, 0.10143315857864471, 0.05947842189059155]",0.0
0,1,0,0,1,2,3,"[0.4847212683897336, 0.11100476744478781, 0.40427396416547856]","[0.12681142216952376, 0.5502762069356384, 0.3229123708948379]",0.0
0,1,0,1,0,10,3,"[0.31559435543776276, 0.5748784073929488, 0.10952723716928843]","[0.05242139380563912, 0.8260848799493223, 0.12149372624503856]",0.0
0,1,0,2,1,6,3,"[0.16801132389049128, 0.7061043704967322, 0.12588430561277647]","[0.8390884195307637, 0.10143315857864471, 0.05947842189059155]",0.0
0,2,0,0,2,2,3,"[0.4847212683897336, 0.11100476744478781, 0.40427396416547856]","[0.12681142216952376, 0.5502762069356384, 0.3229123708948379]",2.0
0,2,0,1,0,10,3,"[0.31559435543776276, 0.10952723716928843, 0.5748784073929488]","[0.05242139380563912, 0.8260848799493223, 0.12149372624503856]",2.0
0,2,0,2,1,6,3,"[0.16801132389049128, 0.12588430561277647, 0.7061043704967322]","[0.8390884195307637, 0.10143315857864471, 0.05947842189059155]",2.0
1,0,1,0,1,10,3,"[0.8238092332311562, 0.12521895124303373, 0.05097181552581009]","[0.6021396171667787, 0.29335277849997543, 0.10450760433324588]",0.0
1,0,1,1,0,6,3,"[0.04608977990733709, 0.8121316879124771, 0.14177853218018577]","[0.6149469544584552, 0.14396495270447715, 0.2410880928370677]",0.0
1,0,1,2,0,2,3,"[0.1062640560039996, 0.7588140270980155, 0.1349219168979849]","[0.6847861487254688, 0.10332081151023281, 0.21189303976429835]",0.0
1,1,1,0,1,10,3,"[0.12521895124303373, 0.8238092332311562, 0.05097181552581009]","[0.6021396171667787, 0.29335277849997543, 0.10450760433324588]",0.0
1,1,1,1,1,6,3,"[0.04608977990733709, 0.8121316879124771, 0.14177853218018577]","[0.6149469544584552, 0.14396495270447715, 0.2410880928370677]",0.0
1,1,1,2,0,2,3,"[0.1062640560039996, 0.7588140270980155, 0.1349219168979849]","[0.10332081151023281, 0.6847861487254688, 0.21189303976429835]",0.0
1,2,1,0,1,10,3,"[0.12521895124303373, 0.05097181552581009, 0.8238092332311562]","[0.6021396171667787, 0.29335277849997543, 0.10450760433324588]",2.0
1,2,1,1,2,6,3,"[0.04608977990733709, 0.8121316879124771, 0.14177853218018577]","[0.6149469544584552, 0.14396495270447715, 0.2410880928370677]",2.0
1,2,1,2,0,2,3,"[0.1062640560039996, 0.7588140270980155, 0.1349219168979849]","[0.10332081151023281, 0.21189303976429835, 0.6847861487254688]",2.0
2,0,2,0,1,6,3,"[0.08168576027890853, 0.7011401719983799, 0.2171740677227116]","[0.7370969602007171, 0.134566966648461, 0.12833607315082188]",0.0
2,0,2,1,1,10,3,"[0.33130736751380985, 0.5288609914046761, 0.13983164108151405]","[0.5291711620249544, 0.1443705639350707, 0.3264582740399749]",0.0
2,0,2,2,0,2,3,"[0.10918996004205002, 0.4751432691150893, 0.4156667708428607]","[0.17591122579214175, 0.7611479847495861, 0.06294078945827215]",0.0
2,1,2,0,1,6,3,"[0.08168576027890853, 0.7011401719983799, 0.2171740677227116]","[0.134566966648461, 0.7370969602007171, 0.12833607315082188]",0.0
2,1,2,1,1,10,3,"[0.33130736751380985, 0.5288609914046761, 0.13983164108151405]","[0.1443705639350707, 0.5291711620249544, 0.3264582740399749]",0.0
2,1,2,2,1,2,3,"[0.10918996004205002, 0.4751432691150893, 0.4156667708428607]","[0.17591122579214175, 0.7611479847495861, 0.06294078945827215]",0.0
2,2,2,0,1,6,3,"[0.08168576027890853, 0.7011401719983799, 0.2171740677227116]","[0.134566966648461, 0.12833607315082188, 0.7370969602007171]",1.0
2,2,2,1,1,10,3,"[0.33130736751380985, 0.5288609914046761, 0.13983164108151405]","[0.1443705639350707, 0.3264582740399749, 0.5291711620249544]",1.0
2,2,2,2,2,2,3,"[0.10918996004205002, 0.4751432691150893, 0.4156667708428607]","[0.17591122579214175, 0.7611479847495861, 0.06294078945827215]",1.0
3,0,0,0,0,6,3,"[0.07533520069218763, 0.7815404651264801, 0.14312433418133225]","[0.09993580790223126, 0.12055387291159188, 0.7795103191861769]",1.0
3,0,0,1,1,2,3,"[0.6641663875384145, 0.08006823108798064, 0.2557653813736048]","[0.13885958150609767, 0.33247910021900207, 0.5286613182749003]",1.0
3,0,0,2,2,10,3,"[0.7514349722257669, 0.19749349133514016, 0.05107153643909289]","[0.22691080790074397, 0.5099412243070292, 0.2631479677922269]",1.0
3,1,0,0,1,6,3,"[0.07533520069218763, 0.7815404651264801, 0.14312433418133225]","[0.09993580790223126, 0.12055387291159188, 0.7795103191861769]",0.0
3,1,0,1,1,2,3,"[0.08006823108798064, 0.6641663875384145, 0.2557653813736048]","[0.13885958150609767, 0.33247910021900207, 0.5286613182749003]",0.0
3,1,0,2,2,10,3,"[0.19749349133514016, 0.7514349722257669, 0.05107153643909289]","[0.22691080790074397, 0.5099412243070292, 0.2631479677922269]",0.0
3,2,0,0,2,6,3,"[0.07533520069218763, 0.7815404651264801, 0.14312433418133225]","[0.09993580790223126, 0.12055387291159188, 0.7795103191861769]",1.0
3,2,0,1,1,2,3,"[0.08006823108798064, 0.2557653813736048, 0.6641663875384145]","[0.13885958150609767, 0.33247910021900207, 0.5286613182749003]",1.0
3,2,0,2,2,10,3,"[0.19749349133514016, 0.05107153643909289, 0.7514349722257669]","[0.22691080790074397, 0.5099412243070292, 0.2631479677922269]",1.0
4,0,1,0,0,6,3,"[0.7946655126086244, 0.09179471511675537, 0.11353977227462024]","[0.14667601221437956, 0.4755631742398968, 0.37776081354572366]",0.0
4,0,1,1,0,10,3,"[0.6566688799594204, 0.10570186159800189, 0.23762925844257776]","[0.16620860292095657, 0.7769891408014573, 0.0568022562775861]",0.0
4,0,1,2,1,2,3,"[0.5891518106123731, 0.23795337745312758, 0.17289481193449932]","[0.8346629265111838, 0.0936043333531459, 0.07173274013567031]",0.0
4,1,1,0,0,6,3,"[0.09179471511675537, 0.7946655126086244, 0.11353977227462024]","[0.14667601221437956, 0.4755631742398968, 0.37776081354572366]",0.0
4,1,1,1,1,10,3,"[0.6566688799594204, 0.10570186159800189, 0.23762925844257776]","[0.16620860292095657, 0.7769891408014573, 0.0568022562775861]",0.0
4,1,1,2,1,2,3,"[0.5891518106123731, 0.23795337745312758, 0.17289481193449932]","[0.0936043333531459, 0.8346629265111838, 0.07173274013567031]",0.0
4,2,1,0,0,6,3,"[0.09179471511675537, 0.11353977227462024, 0.7946655126086244]","[0.14667601221437956, 0.4755631742398968, 0.37776081354572366]",1.0
4,2,1,1,2,10,3,"[0.6566688799594204, 0.10570186159800189, 0.23762925844257776]","[0.16620860292095657, 0.7769891408014573, 0.0568022562775861]",1.0
4,2,1,2,1,2,3,"[0.5891518106123731, 0.23795337745312758, 0.17289481193449932]","[0.0936043333531459, 0.07173274013567031, 0.8346629265111838]",1.0
5,0,2,0,2,10,3,"[0.0892352753448204, 0.6637530485089731, 0.24701167614620648]","[0.7863516640901522, 0.09741565334598788, 0.1162326825638599]",2.0
5,0,2,1,1,6,3,"[0.2576233345727319, 0.06588604986334433, 0.6764906155639238]","[0.4721796241303344, 0.24841814351667155, 0.279402232352994]",2.0
5,0,2,2,0,2,3,"[0.16664066442083794, 0.3739701004169414, 0.4593892351622207]","[0.06515639591304197, 0.8345404587675813, 0.10030314531937672]",2.0
5,1,2,0,2,10,3,"[0.0892352753448204, 0.6637530485089731, 0.24701167614620648]","[0.09741565334598788, 0.7863516640901522, 0.1162326825638599]",0.0
5,1,2,1,1,6,3,"[0.2576233345727319, 0.06588604986334433, 0.6764906155639238]","[0.24841814351667155, 0.4721796241303344, 0.279402232352994]",0.0
5,1,2,2,1,2,3,"[0.16664066442083794, 0.3739701004169414, 0.4593892351622207]","[0.06515639591304197, 0.8345404587675813, 0.10030314531937672]",0.0
5,2,2,0,2,10,3,"[0.0892352753448204, 0.6637530485089731, 0.24701167614620648]","[0.09741565334598788, 0.1162326825638599, 0.7863516640901522]",1.0
5,2,2,1,1,6,3,"[0.2576233345727319, 0.06588604986334433, 0.6764906155639238]","[0.24841814351667155, 0.279402232352994, 0.4721796241303344]",1.0
5,2,2,2,2,2,3,"[0.16664066442083794, 0.3739701004169414, 0.4593892351622207]","[0.06515639591304197, 0.8345404587675813, 0.10030314531937672]",1.0
6,0,0,0,0,2,3,"[0.289944683573107, 0.0967678830200057, 0.6132874334068873]","[0.7344795493059268, 0.14970121215979157, 0.11581923853428158]",1.0
6,0,0,1,2,6,3,"[0.6384940623239993, 0.16839121956858855, 0.19311471810741218]","[0.7012117803270576, 0.1543393480752168, 0.14444887159772565]",1.0
6,0,0,2,0,10,3,"[0.8202709019508747, 0.07560539098403017, 0.10412370706509513]","[0.3268435507348138, 0.14018551148119712, 0.5329709377839891]",1.0
6,1,0,0,1,2,3,"[0.289944683573107, 0.0967678830200057, 0.6132874334068873]","[0.7344795493059268, 0.14970121215979157, 0.11581923853428158]",0.0
6,1,0,1,2,6,3,"[0.16839121956858855, 0.6384940623239993, 0.19311471810741218]","[0.7012117803270576, 0.1543393480752168, 0.14444887159772565]",0.0
6,1,0,2,0,10,3,"[0.07560539098403017, 0.8202709019508747, 0.10412370706509513]","[0.3268435507348138, 0.14018551148119712, 0.5329709377839891]",0.0
6,2,0,0,2,2,3,"[0.289944683573107, 0.0967678830200057, 0.6132874334068873]","[0.7344795493059268, 0.14970121215979157, 0.11581923853428158]",1.0
6,2,0,1,2,6,3,"[0.16839121956858855, 0.19311471810741218, 0.6384940623239993]","[0.7012117803270576, 0.1543393480752168, 0.14444887159772565]",1.0
6,2,0,2,0,10,3,"[0.07560539098403017, 0.10412370706509513, 0.8202709019508747]","[0.3268435507348138, 0.14018551148119712, 0.5329709377839891]",1.0
7,0,1,0,0,10,3,"[0.7086583478938706, 0.10990417360185893, 0.18143747850427047]","[0.2940365520951008, 0.16991962664222682, 0.5360438212626724]",1.0
7,0,1,1,0,2,3,"[0.4581328121278126, 0.3201987507341418, 0.22166843713804565]","[0.24858811959798727, 0.2361412984700652, 0.5152705819319475]",1.0
7,0,1,2,2,6,3,"[0.48901421061373795, 0.30021220824865463, 0.2107735811376074]","[0.7661212185800543, 0.07565462380712615, 0.15822415761281952]",1.0
